species,blurred,restored,clear
Balau,0.3250,0.0000,0.9750
Bintangor,0.4000,0.0000,1.0000
Chengal,0.3750,0.0000,0.9750
Durian,0.2500,0.0000,1.0000
Gerutu,0.1500,0.0000,0.8750
Giam,0.1500,0.0000,0.9500
Jelutong,0.2750,0.0000,1.0000
Kasai,0.2000,0.0000,1.0000
Kedondong,0.3409,0.0000,0.9545
Kelat,0.2750,0.0000,0.9500
Keranji,0.1591,0.0000,1.0000
Machang,0.1500,0.0000,1.0000
Mata Ulat,0.5500,0.0000,1.0000
Medang,0.1250,0.0000,0.9000
Melantai,0.0750,0.0000,1.0000
Melunak,0.1000,0.0000,0.9500
Meranti Bakau,0.2000,0.0000,0.9750
Meranti Dark Red,0.1364,0.0000,1.0000
Meranti White,0.1500,0.0000,0.9500
Meranti Yellow,0.3250,0.0000,0.8250
Merawan,0.0750,0.0000,0.9750
Merbau,0.2750,0.0000,1.0000
Mersawa,0.3000,0.0000,0.9750
Perupok,0.2500,0.0000,1.0000
Pulai,0.3750,0.0000,1.0000
Punah,0.2500,0.0000,1.0000
Ramin,0.4250,0.0000,1.0000
Rengas,0.1220,0.0000,0.9024
Resak,0.4500,0.0000,0.9500
Sepetir,0.1250,0.0000,1.0000
Simpoh,0.3750,0.0000,1.0000
Tembusu,0.2250,0.0000,1.0000
Terentang,0.6000,0.0000,0.9250
Tualang,0.9535,1.0000,1.0000
